1,2016-02-19,20:51:32,2016-02-19,20:57:44,1,0.8,-73.98853302,40.72257996,1,N,-74.00164795,40.72472763,1,6,0.5,0.5,0,0,0.3,7.3
1,2016-02-19,20:51:32,2016-02-19,20:57:17,1,1,-73.973526,40.74345779,1,N,-73.97109222,40.7551384,1,6,0.5,0.5,1,0,0.3,8.3
1,2016-02-19,20:51:32,2016-02-19,21:07:54,1,2.7,-73.96000671,40.77352905,1,N,-73.9901123,40.75074768,2,12.5,0.5,0.5,0,0,0.3,13.8
1,2016-02-19,20:51:32,2016-02-19,21:15:01,1,4.4,-73.99713135,40.73251343,1,N,-73.95307922,40.76751709,1,19,0.5,0.5,4.05,0,0.3,24.35
2,2016-02-19,20:51:32,2016-02-19,20:57:24,3,1.62,-73.97140503,40.75478745,1,N,-73.95639801,40.77551651,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2016-02-19,20:51:32,2016-02-19,20:58:56,2,0.75,-73.99452972,40.73622131,1,N,-74.00318146,40.73287964,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2016-02-19,20:51:32,2016-02-19,20:55:37,4,0.75,-73.95304871,40.7783699,1,N,-73.94618988,40.77201843,1,5,0.5,0.5,1.58,0,0.3,7.88
2,2016-02-19,20:51:32,2016-02-19,20:57:48,1,1.36,-73.96229553,40.77911377,1,N,-73.95365906,40.76673126,2,7,0.5,0.5,0,0,0.3,8.3
2,2016-02-19,20:51:32,2016-02-19,21:28:00,1,20.18,-73.78968811,40.64712143,2,N,-73.96685028,40.77273941,1,52,0,0.5,11.67,5.54,0.3,70.01
2,2016-02-19,20:51:32,2016-02-19,21:03:47,1,1.69,-73.98725891,40.751091,1,N,-73.98174286,40.73416138,1,9.5,0.5,0.5,2.16,0,0.3,12.96
1,2016-02-19,20:51:33,2016-02-19,21:06:06,1,1.4,-74.0001297,40.7346077,1,N,-73.98479462,40.74676895,2,10.5,0.5,0.5,0,0,0.3,11.8
1,2016-02-19,20:51:33,2016-02-19,20:55:32,1,0.5,-73.98415375,40.75504303,1,N,-73.9930954,40.7584343,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2016-02-19,20:51:33,2016-02-19,21:04:16,1,1.4,-73.97888184,40.76181412,1,N,-73.99459839,40.74833679,1,9.5,0.5,0.5,1.1,0,0.3,11.9
2,2016-02-19,20:51:33,2016-02-19,20:53:29,4,0.74,-73.95469666,40.76969147,1,N,-73.95072937,40.77835846,1,4,0.5,0.5,1.06,0,0.3,6.36
